,planet,Lx_init,t_final_high,t_final_med,t_final_low,M_init,fenv,M_final_high,fenv_high,M_final_med,fenv_med,M_final_low,fenv_low,R_init,R_final_high,R_final_med,R_final_low
0,c,1.44e+30,51.88,85.3,927.9,5.4,7.42,5.0,0.0,5.0,0.0,5.0,0.0,5.59,1.5,1.5,1.5
1,c,1.3e+30,54.9,95.9,1035.6,5.4,7.42,5.0,0.0,5.0,0.0,5.0,0.0,5.59,1.5,1.5,1.5
2,c,1.16e+30,58.64,110.1,1165.9,5.4,7.42,5.0,0.0,5.0,0.0,5.0,0.0,5.59,1.5,1.5,1.5
3,c,1.44e+30,176.0,5006.4,5007.1,10.92,8.45,10.0,0.0,10.1,1.03,10.34,3.26,5.59,1.78,2.4,3.0
4,c,1.3e+30,192.8,5005.8,5000.3,10.92,8.45,10.0,0.0,10.12,1.16,10.35,3.39,5.59,1.78,2.44,3.02
5,c,1.16e+30,213.8,5004.7,5002.4,10.92,8.45,10.0,0.0,10.13,1.3,10.36,3.52,5.59,1.78,2.49,3.05
6,c,1.44e+30,5006.0,5007.0,5008.0,26.39,,23.35,,25.49,,25.88,,5.59,5.17,5.47,5.52
7,c,1.3e+30,5007.0,5003.0,5007.0,26.39,,23.56,,25.52,,25.89,,5.59,5.2,5.47,5.52
8,c,1.16e+30,5007.0,5010.0,5006.0,26.39,,23.79,,25.55,,25.9,,5.59,5.23,5.48,5.52
9,d,1.44e+30,84.21,460.8,5001.9,5.6,10.67,5.0,0.0,5.0,0.0,5.03,0.5,6.41,1.5,1.5,1.95
10,d,1.3e+30,90.8,577.3,5008.8,5.6,10.67,5.0,0.0,5.0,0.0,5.03,0.59,6.41,1.5,1.5,2.0
11,d,1.16e+30,99.0,741.8,5006.5,5.6,10.67,5.0,0.0,5.0,0.0,5.03,0.68,6.41,1.5,1.5,2.05
12,d,1.44e+30,1471.5,5008.5,5003.9,11.42,12.43,10.0,0.0,10.49,4.69,10.85,7.84,6.41,1.78,3.25,3.75
13,d,1.3e+30,5008.5,5003.8,5008.2,11.42,12.43,10.01,0.08,10.52,4.92,10.87,7.99,6.41,1.91,3.29,3.77
14,d,1.16e+30,5000.6,5007.7,5001.4,11.42,12.43,10.03,0.27,10.54,5.16,10.89,8.14,6.41,2.05,3.33,3.79
15,d,1.44e+30,5008.0,5005.0,5003.0,32.76,,30.74,,32.17,,32.43,,6.41,6.16,6.34,6.37
16,d,1.3e+30,5003.0,5003.0,5003.0,32.76,,30.89,,32.2,,32.44,,6.41,6.18,6.34,6.37
17,d,1.16e+30,5003.0,5003.0,5003.0,32.76,,31.04,,32.22,,32.45,,6.41,6.19,6.34,6.37
18,b,1.44e+30,280.7,5001.5,5006.9,7.56,33.88,5.0,0.0,5.27,5.16,5.92,15.5,10.27,1.5,3.22,4.72
19,b,1.3e+30,336.2,5001.5,5007.9,7.56,33.88,5.0,0.0,5.3,5.69,5.96,16.13,10.27,1.5,3.32,4.79
20,b,1.16e+30,467.0,5001.1,5002.8,7.56,33.88,5.0,0.0,5.34,6.31,6.01,16.8,10.27,1.5,3.43,4.86
21,b,1.44e+30,5004.0,5006.0,5006.0,17.65,43.33,13.06,23.46,16.22,38.34,16.97,41.08,10.27,5.26,6.23,6.37
22,b,1.3e+30,5006.0,5001.0,5005.0,17.65,43.33,13.36,25.15,16.29,38.6,17.0,41.18,10.27,5.39,6.24,6.37
23,b,1.16e+30,5006.0,5005.0,5004.0,17.65,43.33,13.68,26.88,16.36,38.87,17.03,41.28,10.27,5.52,6.25,6.38
24,b,1.44e+30,5003.0,5003.0,5003.0,69.0,,67.6,,68.59,,68.77,,10.27,10.14,10.23,10.25
25,b,1.3e+30,5003.0,5003.0,5003.0,69.0,,67.7,,68.61,,68.77,,10.27,10.15,10.23,10.25
26,b,1.16e+30,5003.0,5003.0,5003.0,69.0,,67.81,,68.62,,68.78,,10.27,10.16,10.23,10.25
27,e,1.44e+30,5002.2,5005.4,5009.3,6.73,25.69,5.26,5.02,6.03,17.04,6.36,21.41,8.74,3.11,4.71,5.14
28,e,1.3e+30,5000.2,5006.2,5009.6,6.73,25.69,5.31,5.76,6.05,17.41,6.38,21.58,8.74,3.24,4.75,5.15
29,e,1.16e+30,5006.8,5006.8,5008.9,6.73,25.69,5.35,6.62,6.08,17.81,6.39,21.75,8.74,3.38,4.79,5.17
30,e,1.44e+30,5005.0,5003.0,5010.0,14.63,31.66,13.64,26.71,14.34,30.28,14.5,31.01,8.74,5.31,5.55,5.59
31,e,1.3e+30,5005.0,5010.0,5009.0,14.63,31.66,13.72,27.11,14.36,30.35,14.5,31.04,8.74,5.34,5.55,5.59
32,e,1.16e+30,5005.0,5006.0,5008.0,14.63,31.66,13.8,27.51,14.37,30.42,14.51,31.07,8.74,5.37,5.55,5.59
33,e,1.44e+30,5003.0,5003.0,5003.0,53.47,,53.16,,53.38,,53.42,,8.74,8.71,8.73,8.73
34,e,1.3e+30,5003.0,5003.0,5003.0,53.47,,53.18,,53.39,,53.42,,8.74,8.71,8.73,8.73
35,e,1.16e+30,5003.0,5003.0,5003.0,53.47,,53.21,,53.39,,53.42,,8.74,8.71,8.73,8.73
