planet,Lx_init,t_final_low,t_final_med,t_final_high,M_init,fenv,M_final_low,fenv_low,M_final_med,fenv_med,M_final_high,fenv_high,R_init,R_final_low,R_final_med,R_final_high
c,1.44e+30,927.9,85.3,51.88,5.401,7.421,5.0,0.0,5.0,0.0,5.0,0.0,5.59,1.495,1.495,1.495
c,1.3e+30,1035.6,95.9,54.9,5.401,7.421,5.0,0.0,5.0,0.0,5.0,0.0,5.59,1.495,1.495,1.495
c,1.16e+30,1165.9,110.1,58.64,5.401,7.421,5.0,0.0,5.0,0.0,5.0,0.0,5.59,1.495,1.495,1.495
c,1.44e+30,5007.1,5006.4,176.0,10.922,8.446,10.337,3.262,10.104,1.028,10.0,0.0,5.59,2.995,2.397,1.778
c,1.3e+30,5000.3,5005.8,192.8,10.922,8.446,10.351,3.388,10.117,1.157,10.0,0.0,5.59,3.022,2.441,1.778
c,1.16e+30,5002.4,5004.7,213.8,10.922,8.446,10.365,3.521,10.132,1.302,10.0,0.0,5.59,3.051,2.489,1.778
c,1.44e+30,5008.0,5007.0,5006.0,26.391,,25.877,,25.489,,23.346,,5.59,5.521,5.468,5.173
c,1.3e+30,5007.0,5003.0,5007.0,26.391,,25.89,,25.522,,23.564,,5.59,5.523,5.473,5.203
c,1.16e+30,5006.0,5010.0,5007.0,26.391,,25.903,,25.555,,23.787,,5.59,5.524,5.477,5.234
d,1.44e+30,5001.9,460.8,84.21,5.597,10.665,5.025,0.503,5.0,0.0,5.0,0.0,6.41,1.954,1.495,1.495
d,1.3e+30,5008.8,577.3,90.8,5.597,10.665,5.03,0.587,5.0,0.0,5.0,0.0,6.41,1.998,1.495,1.495
d,1.16e+30,5006.5,741.8,99.0,5.597,10.665,5.034,0.684,5.0,0.0,5.0,0.0,6.41,2.045,1.495,1.495
d,1.44e+30,5003.9,5008.5,1471.5,11.42,12.433,10.851,7.844,10.492,4.689,10.0,0.0,6.41,3.752,3.245,1.778
d,1.3e+30,5008.2,5003.8,5008.5,11.42,12.433,10.868,7.989,10.517,4.916,10.008,0.075,6.41,3.772,3.286,1.908
d,1.16e+30,5001.4,5007.7,5000.6,11.42,12.433,10.886,8.143,10.544,5.161,10.027,0.271,6.41,3.795,3.329,2.054
d,1.44e+30,5003.0,5005.0,5008.0,32.763,,32.428,,32.175,,30.743,,6.41,6.368,6.337,6.157
d,1.3e+30,5003.0,5003.0,5003.0,32.763,,32.437,,32.196,,30.891,,6.41,6.37,6.34,6.176
d,1.16e+30,5003.0,5003.0,5003.0,32.763,,32.446,,32.218,,31.042,,6.41,6.371,6.342,6.195
b,1.44e+30,5006.9,5001.5,280.7,7.562,33.877,5.917,15.504,5.272,5.158,5.0,0.0,10.27,4.717,3.22,1.495
b,1.3e+30,5007.9,5001.5,336.2,7.562,33.877,5.962,16.134,5.302,5.695,5.0,0.0,10.27,4.789,3.322,1.495
b,1.16e+30,5002.8,5001.1,467.0,7.562,33.877,6.01,16.804,5.337,6.314,5.0,0.0,10.27,4.864,3.434,1.495
b,1.44e+30,5006.0,5006.0,5004.0,17.646,43.329,16.972,41.079,16.218,38.342,13.065,23.459,10.27,6.367,6.227,5.262
b,1.3e+30,5005.0,5001.0,5006.0,17.646,43.329,17.0,41.176,16.287,38.602,13.36,25.149,10.27,6.372,6.241,5.391
b,1.16e+30,5004.0,5005.0,5006.0,17.646,43.329,17.029,41.275,16.358,38.869,13.676,26.882,10.27,6.377,6.255,5.517
b,1.44e+30,5003.0,5003.0,5003.0,68.997,,68.768,,68.594,,67.597,,10.27,10.248,10.232,10.138
b,1.3e+30,5003.0,5003.0,5003.0,68.997,,68.774,,68.609,,67.701,,10.27,10.249,10.233,10.147
b,1.16e+30,5003.0,5003.0,5003.0,68.997,,68.78,,68.624,,67.807,,10.27,10.25,10.235,10.158
e,1.44e+30,5009.3,5005.4,5002.2,6.729,25.691,6.362,21.405,6.027,17.037,5.264,5.018,8.74,5.136,4.714,3.105
e,1.3e+30,5009.6,5006.2,5000.2,6.729,25.691,6.376,21.576,6.054,17.411,5.305,5.758,8.74,5.151,4.752,3.239
e,1.16e+30,5008.9,5006.8,5006.8,6.729,25.691,6.39,21.753,6.083,17.805,5.355,6.621,8.74,5.167,4.792,3.385
e,1.44e+30,5010.0,5003.0,5005.0,14.633,31.664,14.495,31.011,14.344,30.283,13.644,26.707,8.74,5.589,5.545,5.313
e,1.3e+30,5009.0,5010.0,5005.0,14.633,31.664,14.501,31.038,14.357,30.349,13.719,27.106,8.74,5.591,5.549,5.34
e,1.16e+30,5008.0,5006.0,5005.0,14.633,31.664,14.507,31.066,14.372,30.419,13.795,27.511,8.74,5.593,5.553,5.367
e,1.44e+30,5003.0,5003.0,5003.0,53.473,,53.422,,53.383,,53.159,,8.74,8.735,8.731,8.707
e,1.3e+30,5003.0,5003.0,5003.0,53.473,,53.424,,53.387,,53.182,,8.74,8.735,8.731,8.71
e,1.16e+30,5003.0,5003.0,5003.0,53.473,,53.425,,53.39,,53.206,,8.74,8.735,8.731,8.712
