Name,Cluster,Dist,f_Dist,r_Dist,log(Age),r_log(Age),Vmag,(B-V)0,log(Lx),log(Lx/Lb),Ref,Simbad,_RA,_DE,Lx,age,logLx_cgs
0,Cl* Melotte 20 AP 211  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",15.07,1.39,22.42,-3.05,"41,42",Simbad,53.54708,49.84167,2.6302679918953922e+29,79432823.47242822,29.42
1,Cl* Melotte 20 AP 198  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",15.34,1.39,22.13,-3.23,"41,42",Simbad,53.1875,50.08889,1.3489628825916506e+29,79432823.47242822,29.13
2,Cl* Melotte 20 AP 138  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",14.56,1.34,22.34,-3.27,"41,42",Simbad,50.49958,48.3975,2.187761623949552e+29,79432823.47242822,29.34
3,Cl* Melotte 20 AP 188  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",14.35,1.29,22.55,-3.1,"41,42",Simbad,52.85125,50.20861,3.5481338923357605e+29,79432823.47242822,29.55
4,Cl* Melotte 20 AP 101  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.89,1.24,22.37,-3.42,"41,42",Simbad,50.342420000000004,49.95092,2.3442288153199276e+29,79432823.47242822,29.37
5,Cl* Melotte 20 AP 86   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",14.31,1.22,22.3,-3.29,"41,42",Simbad,52.59542,48.41194,1.995262314968883e+29,79432823.47242822,29.3
6,Cl* Melotte 20 AP 15   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",14.12,1.19,22.58,-3.08,"41,42",Simbad,51.10458,48.80592,3.801893963205597e+29,79432823.47242822,29.58
7,Cl* Melotte 20 AP 75   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.82,1.17,22.43,-3.32,"41,42",Simbad,52.19762,49.274440000000006,2.691534803926914e+29,79432823.47242822,29.43
8,Cl* Melotte 20 AP 114  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.4,1.06,22.26,-3.55,"41,42",Simbad,51.83487,47.99031,1.81970085860999e+29,79432823.47242822,29.26
9,Cl* Melotte 20 AP 112  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.68,1.05,22.57,-3.19,"41,42",Simbad,51.3825,48.5025,3.7153522909717275e+29,79432823.47242822,29.57
10,Cl* Melotte 20 AP 201  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.08,1.04,22.85,-3.14,"41,42",Simbad,53.212830000000004,49.84556,7.079457843841402e+29,79432823.47242822,29.85
11,Cl* Melotte 20 AP 100  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.8,1.03,22.72,-3.37,"41,42",Simbad,50.31542,48.585,5.2480746024977126e+29,79432823.47242822,29.72
12,Cl* Melotte 20 AP 200  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.65,1.03,23.27,-2.89,"41,42",Simbad,53.213330000000006,50.119440000000004,1.8620871366628655e+30,79432823.47242822,30.27
13,Cl* Melotte 20 AP 106  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.94,1.01,22.52,-3.5,"41,42",Simbad,50.669579999999996,49.678329999999995,3.311311214825908e+29,79432823.47242822,29.52
14,Cl* Melotte 20 AP 65   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.52,0.96,22.54,-3.41,"41,42",Simbad,52.003370000000004,49.00025,3.46736850452531e+29,79432823.47242822,29.54
