SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4   M_J    M_Ks  i-z  z-Y  R_Rsun Msun  SpT
A0V    9700  3.987  1.54  0.87 -0.24   1.11  0.000  0.013  0.007 -0.037  0.010  1.09   0.000 -0.005  0.001  0.004  0.041 -0.032  0.028   0.030  -0.041 -0.074 -0.022   1.07   1.07  ...  ...  2.09   2.3   A0V  
A1V    9200  3.965  1.41  1.19 -0.15   1.34  0.040  0.056  0.000  0.011  0.036  1.32   0.017  0.033  0.019  0.044  0.101 -0.024  0.031   0.030  -0.036 -0.068 -0.023   1.25   1.24  ...  ...  2.00   2.15  A1V  
A2V    8840  3.946  1.33  1.38 -0.10   1.48  0.070  0.091 -0.005  0.068  0.069  1.46   0.038  0.063  0.042  0.091  0.188 -0.010  0.034   0.029  -0.034 -0.067 -0.029   1.32   1.29  ...  ...  1.97   2.05  A2V  
A3V    8550  3.932  1.29  1.49 -0.06   1.55  0.090  0.109 -0.009  0.096  0.084  1.52   0.055  0.077  0.050  0.108  0.228 -0.002  0.034   0.029  -0.033 -0.066 -0.029   1.35   1.32  ...  ...  2.01   2.00  A3V  
A4V    8270  3.917  1.20  1.72 -0.04   1.76  0.140  0.166 -0.020  0.166  0.122  1.73   0.071  0.097  0.078  0.164  0.353  0.022  0.037   0.029  -0.031 -0.059 -0.021   1.47   1.41  ...  ...  1.94   1.90  A4V  
A5V    8080  3.907  1.16  1.81 -0.03   1.84  0.160  0.185 -0.024  0.194  0.137  1.81   0.090  0.100  0.089  0.186  0.403  0.031  0.038   0.029  -0.030 -0.058 -0.021   1.51   1.44  ...  ...  1.94   1.85  A5V  
A6V    8000  3.903  1.14  1.87 -0.02   1.89  0.170  0.194 -0.026  0.208  0.145  1.86   0.099  0.098  0.094  0.197  0.428  0.036  0.038   0.029  -0.030 -0.057 -0.018   1.54   1.46  ...  ...  1.93   1.83  A6V  
A7V    7800  3.892  1.06  2.07  0.00   2.07  0.210  0.233 -0.036  0.263  0.174  2.03   0.107  0.091  0.117  0.242  0.528  0.055  0.040   0.029  -0.030 -0.056 -0.017   1.64   1.54  ...  ...  1.86   1.76  A7V  
A8V    7500  3.874  0.97  2.29  0.00   2.29  0.250  0.274 -0.046  0.320  0.204  2.25   0.132  0.082  0.140  0.288  0.626  0.075  0.042   0.028  -0.028 -0.055 -0.009   1.78   1.66  ...  ...  1.81   1.67  A8V  
A9V    7440  3.872  0.97  2.30  0.00   2.30  0.255  0.279 -0.047  0.327  0.208  2.26   0.145  0.080  0.143  0.294  0.638  0.078  0.043   0.028  -0.028 -0.055 -0.007   1.78   1.66  ...  ...  1.84   1.67  A9V  
F0V    7220  3.857  0.89  2.50 -0.01   2.51  0.290  0.317 -0.060  0.377  0.230  2.46   0.158  0.053  0.166  0.339  0.732  0.098  0.045   0.028  -0.026 -0.050  0.003   1.90   1.76  ...  ...  1.79   1.59  F0V  
F1V    7030  3.847  0.77  2.78 -0.01   2.79  0.330  0.350 -0.079  0.434  0.252  2.73   0.204  0.021  0.190  0.385  0.828  0.119  0.047   0.028  -0.026 -0.047  0.009   2.13   1.96  ...  ...  1.64   1.50  F1V  
F2V    6810  3.833  0.70  2.97 -0.02   2.99  0.370  0.390 -0.093  0.490  0.279  2.92   0.250 -0.008  0.213  0.432  0.925  0.140  0.050   0.028  -0.027 -0.046  0.011   2.26   2.07  ...  ...  1.61   1.44  F2V  
F3V    6720  3.827  0.67  3.05 -0.03   3.08  0.390  0.405 -0.100  0.518  0.293  3.01   0.263 -0.016  0.222  0.449  0.961  0.147  0.051   0.028  -0.028 -0.046  0.008   2.32   2.12  ...  ...  1.60   1.43  F3V  
F4V    6640  3.822  0.61  3.19 -0.04   3.23  0.410  0.428 -0.107  0.546  0.307  3.16   0.277 -0.026  0.236  0.476  1.017  0.159  0.052   0.028  -0.029 -0.046  0.000   2.42   2.21  ...  ...  1.53   1.39  F4V  
F5V    6510  3.814  0.54  3.36 -0.04   3.40  0.440  0.455 -0.116  0.587  0.329  3.32   0.290 -0.029  0.252  0.506  1.079  0.173  0.054   0.028  -0.030 -0.045 -0.004   2.55   2.32  ...  ...  1.46   1.33  F5V  
F6V    6340  3.802  0.43  3.65 -0.05   3.70  0.484  0.504 -0.129  0.640  0.356  3.61   0.317 -0.021  0.276  0.553  1.185  0.199  0.057   0.028  -0.033 -0.045 -0.012   2.78   2.52  ...  ...  1.36   1.25  F6V  
F7V    6240  3.795  0.36  3.81 -0.06   3.87  0.510  0.534 -0.135  0.670  0.372  3.77   0.332 -0.012  0.290  0.579  1.244  0.213  0.060   0.027  -0.036 -0.045 -0.013   2.90   2.63  ...  ...  1.30   1.21  F7V  
F8V    6170  3.790  0.31  3.96 -0.07   4.01  0.530  0.558 -0.140  0.694  0.385  3.90   0.350  0.001  0.300  0.599  1.290  0.225  0.061   0.027  -0.039 -0.044 -0.016   3.01   2.72  ...  ...  1.25   1.18  F8V  
F9V    6060  3.782  0.26  4.07 -0.08   4.15  0.552  0.587 -0.146  0.719  0.399  4.04   0.378  0.014  0.312  0.620  1.340  0.237  0.063   0.027  -0.041 -0.044 -0.014   3.11   2.81  ...  ...  1.23   1.14  F9V  
F9.5V  6000  3.778  0.21  4.22 -0.08   4.29  0.572  0.615 -0.150  0.767  0.431  4.17   ...    0.033  0.323  0.640  1.385  0.249  0.065   0.027  -0.042 -0.043 -0.012   3.22   2.91  ...  ...  1.18   1.11  F9.5V
G0V    5920  3.772  0.14  4.40 -0.09   4.45  0.596  0.650 -0.155  0.782  0.438  4.32   ...    0.058  0.336  0.664  1.440  0.262  0.067   0.027  -0.043 -0.043 -0.010   3.34   3.01  ...  ...  1.12   1.08  G0V  
G1V    5880  3.769  0.13  4.40 -0.10   4.50  0.625  0.661 -0.162  0.803  0.448  4.37   ...    0.067  0.340  0.672  1.458  0.267  0.068   0.027  -0.044 -0.042 -0.010   3.38   3.04  ...  ...  1.12   1.07  G1V  
G2V    5770  3.761  0.01  4.68 -0.11   4.79  0.650  0.724 -0.167  0.823  0.459  4.65   ...    0.133  0.363  0.713  1.564  0.293  0.073   0.028  -0.050 -0.040 -0.016   3.57   3.20  ...  ...  1.01   1.02  G2V  
G3V    5720  3.757 -0.01  4.74 -0.12   4.86  0.660  0.739 -0.169  0.832  0.464  4.72   ...    0.152  0.368  0.722  1.590  0.299  0.074   0.028  -0.050 -0.040 -0.014   3.64   3.27  ...  ...  1.01   1.00  G3V  
G4V    5680  3.754 -0.04  4.80 -0.13   4.94  0.670  0.757 -0.172  0.841  0.468  4.79   ...    0.175  0.374  0.733  1.621  0.307  0.075   0.028  -0.052 -0.041 -0.014   3.70   3.32  ...  ...  0.986  0.99  G4V  
G5V    5660  3.753 -0.05  4.84 -0.13   4.98  0.680  0.764 -0.174  0.850  0.473  4.83   ...    0.185  0.377  0.738  1.635  0.310  0.076   0.028  -0.052 -0.041 -0.014   3.74   3.35  ...  ...  0.982  0.98  G5V  
G6V    5590  3.747 -0.11  4.98 -0.15   5.13  0.700  0.796 -0.180  0.869  0.483  4.97   ...    0.227  0.388  0.758  1.691  0.324  0.079   0.028  -0.053 -0.040 -0.012   3.84   3.44  ...  ...  0.939  0.97  G6V  
G7V    5530  3.743 -0.12  5.02 -0.16   5.18  0.710  0.809 -0.182  0.880  0.489  5.02   ...    0.243  0.393  0.766  1.712  0.329  0.080   0.028  -0.054 -0.040 -0.013   3.88   3.47  ...  ...  0.949  0.96  G7V  
G8V    5490  3.734 -0.17  5.15 -0.17   5.32  0.730  0.842 -0.188  0.900  0.499  5.15   ...    0.284  0.404  0.786  1.768  0.342  0.082   0.028  -0.057 -0.039 -0.018   3.97   3.55  ...  ...  0.909  0.94  G8V  
G9V    5340  3.728 -0.25  5.34 -0.21   5.55  0.775  0.894 -0.204  0.950  0.524  5.34   ...    0.358  0.423  0.820  1.861  0.365  0.087   0.029  -0.060 -0.038 -0.018   4.14   3.69  ...  ...  0.876  0.90  G9V  
